folderName, fileName, eRB2Cam.x, eRB2Cam.y, eRB2Cam.z, eRB2Cam.O, eRB2Cam.A, eRB2Cam.T, eRB2Cam.x, eRB2Cam.y, eRB2Cam.z, eRB2Cam.Roll, eRB2Cam.Pitch, eRB2Cam.Yaw, dTCube.x, dTCube.y, dTCube.z, dTCube.Roll, dTCube.Pitch, dTCube.Yaw
RB2_CAM, ST1_RB2_CAMERA_20161221_203355.xml,1.570792,3.899627,3.652315,80.378701,0.310372,-80.872626,1.570792,3.899627,3.652315,-0.494056,0.049234,-0.306442,3.474869,9.730284,0.832783,-147.141657,2.327237,-2.475763
RB2_CAM, ST1_RB2_CAMERA_20161221_203546.xml,1.577572,3.905927,3.654173,83.60946,0.307545,-84.136232,1.577572,3.905927,3.654173,-0.526856,0.03142,-0.305935,3.462818,9.725933,0.829728,-147.109132,2.312135,-2.4849
RB2_CAM, ST1_RB2_CAMERA_20161221_203559.xml,1.571524,3.907386,3.657373,78.176978,0.32163,-78.725712,1.571524,3.907386,3.657373,-0.548907,0.06288,-0.315423,3.46471,9.725734,0.830042,-147.086878,2.343793,-2.475688
RB2_CAM, ST1_RB2_CAMERA_20161221_203608.xml,1.577246,3.902142,3.656876,79.416656,0.324363,-79.906836,1.577246,3.902142,3.656876,-0.490339,0.056844,-0.319343,3.46897,9.727324,0.830853,-147.14569,2.340614,-2.482491
RB2_CAM, ST1_RB2_CAMERA_20161221_203617.xml,1.569259,3.889497,3.651578,82.546794,0.309322,-82.993769,1.569259,3.889497,3.651578,-0.447076,0.03773,-0.307012,3.48446,9.737564,0.832964,-147.188854,2.317688,-2.482651
RB2_CAM, ST1_RB2_CAMERA_20161221_203626.xml,1.550098,3.902407,3.651792,81.847351,0.306701,-82.349261,1.550098,3.902407,3.651792,-0.502018,0.040832,-0.303971,3.494349,9.728204,0.832379,-147.13375,2.318871,-2.47822
RB2_CAM, ST1_RB2_CAMERA_20161221_203636.xml,1.553253,3.894716,3.652199,80.136479,0.308361,-80.633642,1.553253,3.894716,3.652199,-0.497297,0.050184,-0.30425,3.491801,9.735574,0.832627,-147.138325,2.326859,-2.473392
RB2_CAM, ST1_RB2_CAMERA_20161221_203646.xml,1.563091,3.901427,3.655401,79.899897,0.322668,-80.372069,1.563091,3.901427,3.655401,-0.472322,0.053966,-0.318123,3.486215,9.727074,0.831961,-147.163715,2.337459,-2.483096
RB2_CAM, ST1_RB2_CAMERA_20161221_203656.xml,1.560832,3.910288,3.654503,80.263819,0.319523,-80.826289,1.560832,3.910288,3.654503,-0.56261,0.050941,-0.315436,3.473262,9.723753,0.832189,-147.073373,2.333834,-2.482141
RB2_CAM, ST1_RB2_CAMERA_20161221_203705.xml,1.590243,3.894073,3.653108,81.142656,0.314309,-81.612283,1.590243,3.894073,3.653108,-0.469751,0.045848,-0.310947,3.459549,9.734143,0.832558,-147.166176,2.326737,-2.481476
RB2_CAM, ST1_RB2_CAMERA_20161221_203716.xml,1.566208,3.883868,3.6521,80.962031,0.311349,-81.454213,1.566208,3.883868,3.6521,-0.492306,0.046266,-0.307892,3.479656,9.745954,0.833152,-147.143506,2.325524,-2.4786
RB2_CAM, ST1_RB2_CAMERA_20161221_203728.xml,1.565589,3.898297,3.654954,79.225667,0.316377,-79.740548,1.565589,3.898297,3.654954,-0.515034,0.056348,-0.311318,3.476402,9.732874,0.831419,-147.120725,2.335943,-2.47592
