folderName, fileName, err.x, err.y, err.z, err.O, err.A, err.T, err.x, err.y, err.z, err.Roll, err.Pitch, err.Yaw, dTCube.x, dTCube.y, dTCube.z, dTCube.Roll, dTCube.Pitch, dTCube.Yaw
Ext_On, ST1_RB1_FRANGE_20161221_193855.xml,45.069429,2.131006,5.392845,131.392278,0.228045,-131.499758,45.069429,2.131006,5.392845,-0.107255,-0.151106,-0.170796,25.091619,10.166569,0.358177,1.108994,0.273294,2.035448
Ext_On, ST1_RB1_FRANGE_20161221_193909.xml,46.576575,2.218538,5.528709,141.64234,0.269921,-141.750399,46.576575,2.218538,5.528709,-0.107751,-0.211974,-0.167105,25.072495,10.174454,0.358851,1.048117,0.276879,2.035032
Ext_On, ST1_RB1_FRANGE_20161221_193920.xml,45.60197,1.959347,5.689875,132.66118,0.243337,-132.763004,45.60197,1.959347,5.689875,-0.101567,-0.165218,-0.178651,25.094746,10.180647,0.358201,1.094923,0.265306,2.040962
Ext_On, ST1_RB1_FRANGE_20161221_193931.xml,44.949029,2.120096,5.40056,130.223773,0.224766,-130.330995,44.949029,2.120096,5.40056,-0.107004,-0.145469,-0.171343,25.10753,10.178991,0.35954,1.114634,0.272753,2.035687
Ext_On, ST1_RB1_FRANGE_20161221_194040.xml,45.19613,2.069529,5.483954,131.953935,0.233423,-132.061484,45.19613,2.069529,5.483954,-0.107313,-0.156376,-0.1733,25.085727,10.164278,0.359466,1.103728,0.270783,2.035335
Ext_On, ST1_RB1_FRANGE_20161221_194051.xml,45.883229,2.219051,5.426744,136.926419,0.246063,-137.031165,45.883229,2.219051,5.426744,-0.104482,-0.18005,-0.167717,25.091256,10.178095,0.359077,1.080058,0.276266,2.038287
Ext_On, ST1_RB1_FRANGE_20161221_194106.xml,44.842658,2.299881,5.152156,132.895056,0.222379,-133.010906,44.842658,2.299881,5.152156,-0.115635,-0.151693,-0.162609,25.090979,10.17254,0.359189,1.108352,0.281641,2.02725
Ext_On, ST1_RB1_FRANGE_20161221_194119.xml,46.392258,2.062197,5.711611,139.317898,0.267124,-139.424327,46.392258,2.062197,5.711611,-0.106122,-0.202893,-0.173752,25.097982,10.168637,0.360441,1.057217,0.270221,2.036515
Ext_On, ST1_RB1_FRANGE_20161221_194130.xml,45.632931,1.862988,5.814252,133.066592,0.249587,-133.171957,45.632931,1.862988,5.814252,-0.105094,-0.170765,-0.182025,25.095075,10.178723,0.361118,1.089365,0.26199,2.037361
Ext_On, ST1_RB1_FRANGE_20161221_194142.xml,45.685188,1.994997,5.654346,133.943325,0.246226,-134.047064,45.685188,1.994997,5.654346,-0.103475,-0.171188,-0.17698,25.082831,10.171791,0.360738,1.08894,0.267002,2.039091
Ext_On, ST1_RB1_FRANGE_20161221_194157.xml,46.185546,1.913457,5.835595,137.017768,0.264201,-137.123997,46.185546,1.913457,5.835595,-0.105926,-0.193613,-0.179767,25.084108,10.187704,0.360031,1.066509,0.264222,2.036578
Ext_On, ST1_RB1_FRANGE_20161221_194208.xml,44.780471,2.10064,5.38943,128.842474,0.221398,-128.949952,44.780471,2.10064,5.38943,-0.107269,-0.13918,-0.172181,25.098791,10.174751,0.361753,1.120922,0.271933,2.035404
Ext_On, ST1_RB1_FRANGE_20161221_194219.xml,45.355789,2.061,5.540511,131.68122,0.234079,-131.783379,45.355789,2.061,5.540511,-0.101921,-0.15597,-0.174546,25.107114,10.174348,0.358849,1.104161,0.269434,2.040699
,,,,,,,ave,45.55009254,2.077902077,5.540045231,-0.106216462,-0.168884231,-0.173136308,25.09232715,10.17473292,0.359648538,1.091224615,0.270901846,2.036434538
,,,,,,,sd,0.565252379,0.120529195,0.18767128,0.003362901,0.021727771,0.005238388,0.009343906,0.006047161,0.00106223,0.02172452,0.005285963,0.003283798
